job_company,questions,answers,country,area
UI/UX Designer Sênior at Agência Bend was asked...,"Sobre inteligência emocional, pois hoje é muito importante a comunicação entre a equipe.","Sou uma pessoa comunicativa e tento sempre manter a tranparência, motivaçnao e a equipe unida.",Brazil,UX Designer
UI/UX Designer at Instituto de Desenvolvimento Gerencial was asked...,O fato de você ser muito centrado te atrapalha na hora de alguém vier falar com você ou interrompê-lo?,"Que atrapalhar, atrapalha. Mas não significativamente. Isso num ambiente de trabalho é normal e pra mim é ok.",Brazil,UX Designer
UX Designer at MobLee was asked...,Se interessaram pelo processo de criação usando o teste aplicado de base.,Desenvolvi a partir do que havia feito.,Brazil,UX Designer
UI/UX Designer Estágio at Reino Studio was asked...,qual seu processo de produção de um app?,"pesquisa, fluxograma, wireframe, entrevista com o usuário, teste, prototipação e feedback",Brazil,UX Designer
UI/UX Designer at Revelo was asked...,Perguntas sobre marketing como Roi de campanha.,Minha area é de design,Brazil,UX Designer
UX Designer at Framework System was asked...,Qual o projeto mais desafiador?,"Com sinceridade, falei sobre o projeto mais desafiador da minha carreira, o por que achei desafiador e a solução que propus.",Brazil,UX Designer
UI/UX Designer at Agência Badaró was asked...,Sobre minha experiencia anterior.,Que tinha.,Brazil,UX Designer
UX Designer at Caiena was asked...,Pode nos contar um pouco sobre sua trajetória profissional?,Contei brevemente as empresas que eu já havia trabalhado e trabalhos mais relevantes que realizei em cada uma delas.,Brazil,UX Designer
UI/UX Designer Júnior at EvoluServices International Group was asked...,Por que eu usei aquela disposição de elementos no layout.,Expliquei sobre o caminho padrão do usuário.,Brazil,UX Designer
UX Designer at Try Consultoria was asked...,onde eu ja estudei design,universidade são judas tadeu,Brazil,UX Designer
UI/UX Designer at ReclameAqui was asked...,"sobre carreira, habilidades entre outras.",,Brazil,UX Designer
UI/UX Designer Pleno at Webmotors was asked...,O que eu espero trabalhando na Webmotors,Ter uma carreira excelente com altas experiências adquiridas podendo crescer junto com a empresa.,Brazil,UX Designer
UX Designer at Meta IT was asked...,Por que você gostaria de trabalhar na Meta?,Estou procurando uma empresa para seguir carreira na minha área de atuação.,Brazil,UX Designer
UX Designer at Positivo Soluções Didáticas was asked...,Qual sua experiência com desenvolvimento digital?,Dei um breve relato sobre minha carreira na área.,Brazil,UX Designer
UI/UX Designer Sênior at Dextra was asked...,Qual meu processo de trabalho,Expliquei várias formas que eu trabalho,Brazil,UX Designer
UX Designer at Icatu Seguros was asked...,Como eu trabalho em equipe e sobre pressão,"De forma clara e bem objetiva, transmitindo segurança.",Brazil,UX Designer
UX Designer at Contabilizei was asked...,Qual o motivo que levou você a querer ingressar na nossa empresa?,Ambiente e autonomia.,Brazil,UX Designer
UI/UX Designer Sênior at B2W Digital was asked...,O que eu busco em uma empresa para decidir trabalhar nela?,Busco oportunidades em empresas que tem o design como fim. O design encarado com produto também.,Brazil,UX Designer
UX Designer at Semantix was asked...,Quais os últimos livros de design que você leu?,Citei alguns livros que li.,Brazil,UX Designer
UX Designer at Serasa was asked...,Qual a facilidade de mudar para Blumenau.,"Que era tranquilo, desde que meus gatos pudessem ir junto.",Brazil,UX Designer
UX Designer at ZBRA Soluções was asked...,Qual o seu momento na carreira hoje?,Meu momento é que estou começando na área e buscando novas oportunidades,Brazil,UX Designer
UX Designer Sênior III at Stefanini was asked...,Fale sobre a sua trajetória profissional,Contei das mais recentes para as últimas,Brazil,UX Designer
UX Designer at Stefanini was asked...,Como descrever a cor azul para um cego,"Azul é como a sensação de uma tigela com água fria, relaxamento, o cheiro do mar é azul…",Brazil,UX Designer
UX Designer at BairesDev was asked...,Quais os países que mais usam o linkedin?,"Estados Unidos, Brasil e India",Brazil,UX Designer
UI/UX Designer at DUX Coworkers was asked...,Onde você se vê daqui 5 anos?,Eu quero ser muito boa/ótima no que eu faço.,Brazil,UX Designer
UX Designer at Mobix was asked...,O que você gosta em uma empresa?,"uma empresa colaborativa, divertida e com desafios",Brazil,UX Designer
UI/UX Designer at Studio Visual was asked...,Quantos anos tem na profissão e na área que deseja exercer?,Estou mais de uma década na área e exerço a específica função a mais de 2 anos.,Brazil,UX Designer
UI/UX Designer at Banco Nacional de Empregos was asked...,O que você já realizou na sua vida profissional,"já estudei muito e ainda procuro sempre estar aprendendo sobre minha área e também outras especialidade, gosto muito do que faço e fico feliz com a qualidade do meu trabalho hoje",Brazil,UX Designer
UI/UX Designer at Sinergia Studios was asked...,Como você faz quando se depara com uma tarefa que ainda não conhece profundamente?,Eu expliquei que é necessário conhecer detalhes do problema a fim de verificar quais as possíveis soluções e reais necessidades desse problema para ai então pesquisar a respeito de forma mais assertiva e busca exemplos e referências no mercado.,Brazil,UX Designer
UI/UX Designer Sênior at Sistema de Cooperativas de Crédito do Brasil was asked...,A relação de ter passado por tantas empresas e algumas delas por pouco tempo.,Algumas das empresas foram projeto curtos com prazo de duração estipulado para terminar.,Brazil,UX Designer
UI/UX Designer at BTG Pactual was asked...,"Sobre historico profissional, algo que já tinha no meu cv e linkedin",expliquei meus melhores pontos em cada empresa e maiores projetos desenvolvidos,Brazil,UX Designer
UX Designer at B2W Digital was asked...,Na entrevista com RH fui perguntada sobre salário e benefícios que ganhava onde trabalhava e pretensão salarial.,"Explicitei meu salário e benefícios, mas disse que minha pretensão era negociável mesmo para uma remuneração inferior (defini o meu limite mínimo aceitável), pois estava buscando uma transição de carreira para uma área em que não tinha experiência. A proposta que recebi depois para Pleno 1 foi com valor intermediário e justo, acima do mínimo que defini e abaixo do que eu ganhava como sênior.",Brazil,UX Designer
UX Designer at Tecnofit was asked...,Qual o seu sonho grande?,"Viajar e conhecer o mundo, ter uma vida equilibrada entre o trabalho e vida pessoal",Brazil,UX Designer
UI/UX Designer at OmniChat was asked...,Quais meus objetivos e visão de futuro na carreira,Foco e especialização em UX e produto digital. E gestão / liderança.,Brazil,UX Designer
UI/UX Designer at OmniChat was asked...,O que a OmniChat tem a ganhar me contratando?,"Total dedicação de alguém que quer fazer acontecer, aliado a toda experiência. Alguém que além de aprender pode ensinar e colaborar muito.",Brazil,UX Designer
UX Designer at Kinghost was asked...,Aquelas mesmas de sempre: Como você se vê daqui a 5 anos? Se o que você sabe sobre a empresa? E um review de todas as tuas experiências anteriores.,"Não teve uma pergunta específica. O mais interessante foi que a própria recrutadora deixou claro que iria dar retorno sendo aprovado ou não, e isso não aconteceu.",Brazil,UX Designer
UX Designer at ZBRA Soluções was asked...,Me conta sobre sua experiência profissional,Respondi contando um pouco da minha experiência e como trabalho hoje com UX.,Brazil,UX Designer
UI/UX Designer at Docket was asked...,Qual a sua pretensão salarial?,"Respondi. Disseram que estava acima, mas que não poderiam falar o valor exato naquele momento.",Brazil,UX Designer
UX Designer at Accenture was asked...,Como é seu dia-a-dia,Descrevi minhas tarefas e responsabilidades,Brazil,UX Designer
UX Designer at Itaú Unibanco (Itaú BBA e Rede) was asked...,"""Por que o Itaú?"" Se perguntarem a você, seja sincero, 90% das pessoas respondem essa pergunta ""enfeitando"" muito na resposta.",Uma empresa muito grande onde eu teria a oportunidade de estabelecer um crescimento e conhecimento enorme para o meu currículum,Brazil,UX Designer
