job_company,questions,answers,country,area
UX Designer at Synchrone was asked...,Décrivez votre méthodologie de travail,Description du workflow,France,UX Designer
UX Designer at Nexton Consulting was asked...,"Presente toi, Quel est ton parcours ? Connais tu notre entreprise ? Quel salaire aimerais tu ? Que fais tu dans ton entreprise ?","Je suis mitigé par cette entreprise car j'ai eu comme réponse ""nous n'avons aucune mission à vous proposer à court terme"". Pourquoi cet entretien alors ?",France,UX Designer
UI-UX Designer at iAdvize was asked...,Revisiter le formulaire de création d’une règle de ciblage. Objectifs du redesign : Réduire le temps moyen de création d’une règle de ciblage (temps actuel mesuré = 40 secondes) Trouver une cohérence graphique et évolutive. Rendre le formulaire + évolutif en cas d’ajout de : Nouveaux comportements Nouveaux critères Nouveaux canaux,Maquettes graphiques + argumentaires,France,UX Designer
UI-UX Designer at ModuloTech was asked...,qu'est ce qu'il te saute au yeux quand tu regarde cette interface d'administration,certaines icones ui sont incohérente les une avec les autres .,France,UX Designer
Alternance PO - UX Designer at Allianz was asked...,Des exemples de projets que tu as mené ?,Description de mes expériences les plus marquantes,France,UX Designer
UX Designer at Schneider Electric was asked...,Qu'avez vous appris durant votre expérience aux USA ?,Les differences culturelles,France,UX Designer
UI-UX Designer at Axance was asked...,vos type de mission,mes missions actuelles,France,UX Designer
Lead Ux Designer at SimpliField was asked...,Des questions très classiques,"Cher candidat, Nous vous remercions pour votre retour. Dans une démarche d’amélioration constante, nous prenons note de vos remarques et feedback sur notre process de recrutement. L'entretien téléphonique est une préqualification (pour optimiser le temps de chacun). Ensuite, lors de l'entretien en face à face, certaines questions peuvent parfois être reprises, car nous sommes très attachés à l’humain et les échanges permettent de comprendre le/la candidat(e) et d'identifier le fit avec les valeurs de l’entreprise et l’esprit d’équipe. Cette identification est également utile au candidat au moment de faire son choix. Concernant le test technique, il est habituellement apprécié des candidats puisqu'il permet de se projeter sur notre solution. A la lecture de votre retour, peut-être n'avons nous pas assez souligné cet objectif pour ce qui vous concerne. Nous prenons en compte votre remarque et veillerons à l'avenir à faire preuve plus encore de pédagogie. En revanche, nous ne pouvons accepter votre jugement quant au niveau de compétences de nos collaborateurs. Ces derniers exercent leurs rôles et possèdent le niveau de compétences idoine. Si leurs rôles sont différents de celui du candidat, leurs expertises sont donc différentes. Elles ne peuvent en aucun cas être présentées comme sous qualifiées. Dans une démarche de développement et d'amélioration continus, SimpliField est toujours à l'écoute des avis des candidats. Je vous invite donc, si vous le souhaitez, à me contacter par téléphone pour m'exposer et développer plus avant vos remarques. Meilleures salutations, Marjorie Palasse Head of HR",France,UX Designer
UX Designer at Renault Group was asked...,Quelles technologies / logiciels utilisez vous?,Adobe Photoshop Adobe Illustrator Adobe Indesign Sketch Axure Invision Filmora Solidworks Autodesk Alias,France,UX Designer
UI-UX Designer at Alankit Assignments was asked...,Pouvez-vous décrire un projet récent qui vous a particulièrement mis au défi et comment vous avez abordé le problème?,"Lorsqu'un client dit: ""Je n'aime pas ce design.""",France,UX Designer
UX Designer at Squad was asked...,Quels outils utilisez-vous dans votre quotidien,J'ai de forte connaissance sur différentes applications design,France,UX Designer
UX Designer at Squad was asked...,Pouvez-vous me raconter une difficulté rencontrée et comment êtes-vous parvenu à la résoudre.,"J'ai eu 2 difficultés dans mes expériences qui m'ont marqué : 1 - Un échange compliqué sur un sujet de fonctionnalité à mettre en œuvre avec développeur. Le facteur était plus humain que technique. 2 - Devoir rassurer un client craintif sur un projet. Chaque étape, j'ai programmé des réunions pour donner de la visibilité",France,UX Designer
UX Designer at Société Générale was asked...,What is a Corporate and Investment Banking and how does it work ?,Refer to their website.,France,UX Designer
UX Designer at IBM was asked...,Qu'est-ce qui anime votre métier/passion ?,en parlant de la méthodologie de travail pour répondre à une problématique d'un projet.,France,UX Designer
UX Designer at Backelite was asked...,Êtes-vous prêt à faire du travail périphérique rébarbatif ?,No answer,France,UX Designer
UI-UX Designer at UX-Republic was asked...,"Entretien très RH, peu technique",No answer,France,UX Designer
UX Designer at Axance was asked...,"Pas de question difficile, par contre la fiche de post VS les questions n'étaient pas conforme (ils me demandaient des skills qui n'ont rien a voir avec de l'UX)",No answer,France,UX Designer
Lead Ux Designer at Cognizant Technology Solutions was asked...,Si auparavant j'avais participé à des appels d'offre,No answer,France,UX Designer
UX Designer at SeLoger was asked...,RAS,No answer,France,UX Designer
UI-UX Designer at Nexton Consulting was asked...,Où vous vous voyez d'ici 5 ans ?,No answer,France,UX Designer
UI-UX Designer at Capgemini was asked...,What exactly was the type of work I was looking for.,No answer,France,UX Designer
UX Designer at IQVIA was asked...,- Projets sur lequel j&#039;ai été le plus fier - Décrire methode de conception - Proposer un plan pour les trois prochain mois pour une démarche UX,No answer,France,UX Designer
UI-UX Designer at Nexton Consulting was asked...,Où vous vous voyez d'ici 5 ans ?,No answer,France,UX Designer
UX Designer at Agendize was asked...,Quelle techniques utilisés pour la mise en place d'un site.,No answer,France,UX Designer
UX Designer at NOOEH Recruiting Experts was asked...,Possédez-vous suffisamment de connaissances en UX Design pour mener à bien la mission ?,No answer,France,UX Designer
UX Designer at Axance was asked...,Pourquoi vous spécialiser dans l'UX design ?,No answer,France,UX Designer
UI-UX Designer at Fifty-Five was asked...,Comment définiriez-vous l'entreprise ?,No answer,France,UX Designer
UI-UX Designer at Brigad was asked...,"Si tu étais le seul à parler pendant un diner, quel est le sujet sur lequel tu parlerais pendant des heures?",No answer,France,UX Designer
UI-UX Designer en alternance at Groupe M6 was asked...,Pourquoi vouloir rejoindre le Groupe M6 ?,No answer,France,UX Designer
UX Designer at Société Générale was asked...,"Explain a project that you did in your portfolio: the context, your role, your difficulties/solutions ?",No answer,France,UX Designer
UX Designer at Société Générale was asked...,"Explain a project that you did in your portfolio: the context, your role, your difficulties/solutions ?",No answer,France,UX Designer
UI-UX Designer at Nexton Consulting was asked...,Ou vous voyez vous dans 10 ans,No answer,France,UX Designer
UX Designer at Air Liquide was asked...,Comment interagissez-vous avec un collègue qui n'est pas d'accord avec vous et vous le signale d'une façon colérique ?,No answer,France,UX Designer
Senior UX Designer at BlaBlaCar was asked...,Onsite presentation: Present yourself under 5minutes,No answer,France,UX Designer
Lead Ux Designer at Accenture was asked...,décrire un cas d'étude depuis mon portfolio,No answer,France,UX Designer
UX Designer at PwC was asked...,Que pourriez-vous faire entre deux projets/missions ?,No answer,France,UX Designer
UI-UX Designer at Capgemini was asked...,What exactly was the type of work I was looking for.,No answer,France,UX Designer
UX Designer at Nextedia was asked...,"Mes motivations, mes aspirations à court /long terme. Un grand nombre de question technique aussi",No answer,France,UX Designer
UX Designer at La Javaness was asked...,Quelle est votre philosophie de design?,No answer,France,UX Designer
UX Designer at Axance was asked...,Sur quels types de projets avez-vous travaillé ? Quelles sont les valeurs que vous recherchez dans votre futur entreprise ?,No answer,France,UX Designer
Lead Ux Designer at Aquent was asked...,parcourir mon portfolio,No answer,France,UX Designer
UI-UX Designer at Brigad was asked...,Pourquoi Brigad?,No answer,France,UX Designer
UI/UX Designer at Algolia was asked...,'Why do you want to work here?',No answer,France,UX Designer
UI-UX Designer en alternance at Groupe M6 was asked...,Présentez-vous et racontez nous votre parcours ?,No answer,France,UX Designer
UI-UX Designer en alternance at Groupe M6 was asked...,"Êtes-vous un téléspectateur des chaines de télévision du groupe ou un auditeur des radios du groupe ? Si oui, lesquelles ?",No answer,France,UX Designer
Senior UX Designer at BlaBlaCar was asked...,Onsite presentation: 10-15 min on 2-3 things you are proud of from your career,No answer,France,UX Designer
Junior Consultant UX Designer at ALTEN was asked...,"Mes expériences précédentes Comment est-ce-que je voyais mon évolution au sein d'Alten Explications de l'environnement (suivi, mission)",No answer,France,UX Designer
UX Designer at Klee Group was asked...,Montrez-nous des projets que vous avez réalisé,No answer,France,UX Designer
UX Designer at Klee Group was asked...,"Le directeur m'a demandé de classer une vingtaine de mots-clés (ex: Flexibilité, Argent, Besoin de reconnaissance) par ordre de préférence puis nous avons échangé sur le sujet",No answer,France,UX Designer
Lead Ux Designer at Chance was asked...,Do you understand what we do?,No answer,France,UX Designer
UI-UX Designer at La mobilery was asked...,Quels sont vous compétences UX-Ui ?,No answer,France,UX Designer
UX Designer at Axance was asked...,"""What's your hobby"" pour parler en anglais",No answer,France,UX Designer
UX Designer at Degetel was asked...,Quand est ce que vous êtes disponible ?,No answer,France,UX Designer
UX Designer at Degetel was asked...,Quand est ce que vous êtes disponibles ?,No answer,France,UX Designer
Lead Ux Designer at DocuSign was asked...,Why you are looking for a new job?,No answer,France,UX Designer
UX Designer at Société Générale was asked...,Citez tous les formats d'image ?,No answer,France,UX Designer
UX Designer at Société Générale was asked...,"Do you have notions in code, especially in HTML and CSS ?",No answer,France,UX Designer
Lead Ux Designer at FABERNOVEL was asked...,Qu'est-ce qui vous motive à changer d'emploi?,No answer,France,UX Designer
UX Designer at Accenture was asked...,Quel est le quotidien d'un gestionnaire de projet?,No answer,France,UX Designer
UI-UX Designer at Capgemini was asked...,comment vous voyez-vous dans 5 ans?,No answer,France,UX Designer
UX Designer at Capgemini was asked...,Pourquoi Capgemini ? C'est quoi le role d'un ux designer? Quel est ton parcours ? Est tu véhiculé ? Que pense de toi tes anciens collègues ?,No answer,France,UX Designer
UX Designer at GitLab was asked...,No questions received since the interview is cancelled.,No answer,France,UX Designer
UI-UX Designer at Addstones Consulting was asked...,Comment avez vous pu conjuguer Free et poste fixe ?,No answer,France,UX Designer
UI/UX Designer at La Netscouade was asked...,Que pensez-vous de l'UX ? Quel place avez-vous dans un projet ? Quelles compétences et appétences pouvez-vous nous apporter ?,No answer,France,UX Designer
UI/UX Designer at iSi (Germany) was asked...,How could you explain the difference between UX and UI? Why are you interested about this offer?,No answer,France,UX Designer
Junior Consultant UX Designer at mc2i was asked...,"Proposez une démarche pour la conception d'une bouteille d'eau, avec l'approche UX.",No answer,France,UX Designer
UI-UX Designer at Fifty-Five was asked...,Quelles sont vos pratiques courantes ?,No answer,France,UX Designer
UX Designer at SeLoger was asked...,l'intervieweur demande de faire un exercice sur place afin d'analyser comment le candidat serait capable d'améliorer la plate-forme seloger.com,No answer,France,UX Designer
Senior UX Designer at BlaBlaCar was asked...,Design Exercise: Teach a user how to complete his profile and verify his information to improve his likelihood of getting passengers in his car.,No answer,France,UX Designer
UX Designer at Niji was asked...,Décrivez moi votre parcours Pro,No answer,France,UX Designer
