job_company,questions,answers,country,area
UX Designer at USEEDS° was asked...,warum useeds,bisheriges lieblingsprojekt,Germany,UX Designer
UX Designer at Cornelsen Schulverlage was asked...,What does a typically UX proces look like for you?,I normally start out setting visions and goals with the client. Then going into the design proces where I collaborate closely and designers and front-end developers on creating a prototype. Also I am highly involved in the specification phase where I write specifications and do quality assurance,Germany,UX Designer
UX Designer at Homebell was asked...,How would you change this specific design of the page?,I showed a wireframe but they didnt like it too much,Germany,UX Designer
UX Designer at Zoi was asked...,"Endlose Ausführungen über die Firmengeschichte, gleich am Anfang, mit der Frage was ich darüber denke.","Wenn ich die Website nicht selbst lesen könnte, hätte ich mich auch nicht beworben und ein Gloria auf sich selbst zu halten, schien mir sehr geschmacklos. Daher hab ich auch etwas lapidares in Sinne von ""Oh, sehr interessant!"" geantwortet.",Germany,UX Designer
UI-UX Designer at REBELLE - StyleRemains was asked...,What were your UI-UX responsibilities in your last job?,Design and usability of the Website......,Germany,UX Designer
Senior UX Designer at Mobimeo was asked...,What can you bring to the team?,What are your strengths and what do you want to develop yourself in?,Germany,UX Designer
Senior UX Designer at GetYourGuide was asked...,What would you change on the decisions you have made in your professional life?,"Nothing, because I’m happy with who I am and this is because of my past decisions, I just would learn from the mistakes for the next decisions that I’ll have to take.",Germany,UX Designer
Senior UX Designer at Amazon was asked...,Describe to us one time that you failed and what was your reaction to this.,"Hi! As an Amazon employee who interviewed and hired a lot of people here, I've created a guide that has all the questions and winning answers from an Amazonian recruiter perspective. Please check it out at interviewjoy.com/services/interview-process-details/amazon-senior-manager-interview-questions/ . Pls also check the positive feedback at the bottom of that page! Thanks.",Germany,UX Designer
UI-UX Designer at Native Instruments was asked...,What do you expect from this job?,Designing interfaces and workflows.,Germany,UX Designer
UX Designer at Zoi was asked...,Es wurde nach meinem Portfolio gefragt.,"Ich habe es kurz angerissen, da es Case Studies waren, hatte aber das Gefühl Sie suchen keinen UX Designer sondern jemand der alles einfach Umsetzt und Glitter hinzufügt. Also im Grunde habe ich mich auf eine Stelle beworben die diese Firma falsch ausgeschrieben hat.",Germany,UX Designer
UI-UX Designer at Solvemate was asked...,Working for free on unpaid offsite tasks,No,Germany,UX Designer
UX Designer at IXDS was asked...,Explain a design project that had actually gone to market.,"Had to explain that the project was about a 5 year project and that I was only part of the first year of ideation, conceptualization, and kick off.",Germany,UX Designer
