job_company,questions,answers,country,area
Desarrollador Web at Exosfera was asked...,Experiencia,Nula en el Hambito laboral,Mexico,Web Developer
Desarrollador De Aplicaciones Web at Administradora de Negocios Tres Islas was asked...,Qué tal manejas las bases de datos,Lo manejo en un 60%,Mexico,Web Developer
Web Developer at Tecnologías Empresariales Aplicadas was asked...,Menciona 5 fortalezas tuyas,"Valentia, Proactivo",Mexico,Web Developer
Web Developer at Inoventrix was asked...,How can we use a foreach in PHP?,With the next line you can use a foreach: foreach($items as $item) {},Mexico,Web Developer
Desarrollador Web at Wachinango was asked...,Si me acoplaría a nuevos lenguajes de programación,"Si, es cuestión de sintaxis puesto que la lógica es la misma en cualquier lenguaje",Mexico,Web Developer
Desarrollador De Aplicaciones Web at Alluxi was asked...,Si tenia dominio con algun framework para desarrollo web,En ese entonces tenia conocimiento básico de Angular y me fue bastante bien.,Mexico,Web Developer
Desarrollador Web at Tecnologia Aplicada a Negocios was asked...,El cliente me pregunto que guardo en mis bolsillos de mi pantalon y donde los dejo al dormir,"mi respuesta fue Celular, llaves , cartera y Dulces. Y los coloco en mi tocador junto a mi cama",Mexico,Web Developer
Desarrollador Web at Universidad Autónoma Chapingo was asked...,Ninguna,Nada,Mexico,Web Developer
Web Developer at Mahisoft was asked...,"En la primera entrevista te preguntan tu trayectoria como profesional, en las entrevistas técnicas te piden resolver problemas y aplicar tus conocimientos.",Respondí con transparencia.,Mexico,Web Developer
Web Developer at Knotion was asked...,¿Qué puedes aportar a Knotion?,"Conocimiento, capacidad, entusiasmo, innovación, creatividad y buena vibra a mis compañeros.",Mexico,Web Developer
Desarrollador Web at Integranet was asked...,Has trabajado en algún proyecto personal y/o en anteriores trabajos?,Si y mostré mis demos y proyectos universitarios,Mexico,Web Developer
Desarrollador Web at Vanco was asked...,Lo que mas me preguntaron era por que me queria cambiar de trabajo,conteste que era por que queria crecer profesionalmente,Mexico,Web Developer
Web Developer at EnviaFlores was asked...,"Mencioné las herramientas a utilizar,",Le respondí las aplicaciones que utilizo.,Mexico,Web Developer
Desarrollador Web at Aumenta was asked...,Describir servicios REST,No answer,Mexico,Web Developer
Web UI Developer at Globant was asked...,"Technical: Javascript, OOP, HTML5, CSS, jQuery, Angular, Bootstrap, Responsive design, Github",No answer,Mexico,Web Developer
UI Web Developer at Globant was asked...,What is the difference between == and ===?,No answer,Mexico,Web Developer
Web UI Developer Semi Senior Advanced at Globant was asked...,Que es this Como modificas el DOM Preguntas básicas de css,No answer,Mexico,Web Developer
UI Web Developer at Globant was asked...,Some tech questions about how do I use JavaScript Prototype,No answer,Mexico,Web Developer
Web Developer at Nextiva was asked...,Explica que es la palabra this en javascript,No answer,Mexico,Web Developer
Web Developer at Softtek was asked...,Preguntas sobre mi experiencia y proyectos anteriores.,No answer,Mexico,Web Developer
Web Developer at SpeedFC was asked...,"No hard questions, just a basic PHP test. You are asked to define some concepts.",No answer,Mexico,Web Developer
Web Developer at Grio was asked...,Describe a typical workday day in english.,No answer,Mexico,Web Developer
Web Developer at Celular Express (Celex) was asked...,Cuales fueron tus últimos empleos,No answer,Mexico,Web Developer
Desarrollador Web at Tonivisa was asked...,sobre procesos de la empresa lo normal,No answer,Mexico,Web Developer
Web Developer at Gameloft was asked...,"Not really difficult question, only basic acknowledge about web programming",No answer,Mexico,Web Developer
Desarrollador Web at Quiminet was asked...,Te preguntan si tienes algún problema trabajando con PHP puro,No answer,Mexico,Web Developer
Desarrollador web front-end at Mexbalia was asked...,¿Qué podrías aportar en el área al que buscas ingresar? ¿Cuáles consideras que son tus debilidades? ¿Cuáles son tus fortalezas?,No answer,Mexico,Web Developer
UI Web Developer at Globant was asked...,"What do you use in SASS, ej: mixins, variable, functions etc...",No answer,Mexico,Web Developer
UI Web Developer at Globant was asked...,Some tech questions about media queries and box model,No answer,Mexico,Web Developer
UI Web Developer at Globant was asked...,Some tech questions about what tool do I use for JavaScript UnitTesting,No answer,Mexico,Web Developer
Desarrollador Web at Grupo Carso was asked...,1. Intereses 2. Gustos 3. Proyectos 4. Habilidades blandas 5. ¿Que haces si una persona de tu equipo no trabaja? 6. ¿Cual ha sido el proyecto mas retador al cual te has enfrentado?,No answer,Mexico,Web Developer
Web Developer at Nextiva was asked...,Explica el eventLoop,No answer,Mexico,Web Developer
Web Developer at Softtek was asked...,"Depending on your role, for me it was none",No answer,Mexico,Web Developer
Web Developer at Danilo Black was asked...,"no difficult questions, just based on portfolio",No answer,Mexico,Web Developer
Web Developer at Dextra Technologies was asked...,Explica MVC,No answer,Mexico,Web Developer
Desarrollador Web at Intugo was asked...,Manejo de ingles es obligatorio,No answer,Mexico,Web Developer
UI Web Developer at Globant was asked...,What is a closure?,No answer,Mexico,Web Developer
UI Web Developer at Globant was asked...,"Explain ""hoisting"".",No answer,Mexico,Web Developer
UI Web Developer at Globant was asked...,How would you design a responsive site?,No answer,Mexico,Web Developer
