job_company,questions,answers,country
Data Analyst at Electronic Arts was asked...,What was one of the biggest challenge on your last work? Are you more an analytical or creative person?,I answered with a challenge I had when I had to start a unit from scratch.,Spain
Business Intelligence and Data Science Analyst at Atrapalo was asked...,How many universes did I managed,Really I have enough with mine ;),Spain
Data Scientist at Typeform was asked...,How experienced are you with SQL?,Sounds about right -- shady company.,Spain
Data Scientist at King was asked...,How would you implement a factorial function with no for loops?,Recursion function factorial(n) { if n = 0 return 1 else return n * factorial(n-1) },Spain
Data Analyst/Data Scientist at Boston Consulting Group was asked...,Specific bussiness related questions to a case problem about airlines competition between companies.,Calculations. You only have 1:30 seconds per question and I answered less than half of the questions,Spain
Junior Data Analyst at Criteo was asked...,How many mattresses have been sold in UK over the past year?,I calculated,Spain
"Data Analyst, Business Analyst at Criteo was asked...",Guessitmation Question--- How many mattress are sold in the UK each year?,No answer,Spain
Data Analyst at Accenture was asked...,Where do you see yourself in 5 years,No answer,Spain
"Consultant, Data Analyst at SDG Group was asked...",Que te ha hecho apuntarte en esta oferta?,por mi futuro laboral,Spain
Senior Data Analyst at McKinsey & Company was asked...,There was an unexpected math test after the PST which was difficult for someone who has not done permutations and whatnot in a while.,Still waiting for first round.,Spain
HR Reward & Data Analyst at TravelPerk was asked...,"Sounds that you are happy in your current company, why do you really want to join TK?",,Spain
Data Analyst at Glovo was asked...,Puedes explicar el código que escribiste?,Sustentar lo que se hizo.,Spain
Data Scientist at Accenture was asked...,What is your familiarity with statistical methods and passed projects ?,"Naming some previous work, studies and methods I used in my work. Bayesian networks, Some example of optimization problems.",Spain
Intern data scientist at ExoClick was asked...,"Analyse a dataset of views per ad_type, and predict the eCPM for the next days.",Use time series analysis.,Spain
Data Analyst at Amazon was asked...,1)What do you do when a customer is not satisfied with a company product? ( I would be very happy if somebody tells me the relationship between the position title and the question) 2) What is the KNN in the machine learning? (Very funny) 3) Do you help other employees if needed?,"They are testing you on their first principle, which is ""Customer Obsession"". It's about how much value you give to the customer experience, the end customer can also be a client here.",Spain
Data Scientist at Trovit was asked...,How do you think your skills are useful to the position?,"I come from a research institution and the position, although slightly different from my background, was a applied research position. Personally, I think the skills I gained during my Ph.D. and postdoc completely suit the demands of the company since it is a job I have done already.",Spain
Data Analyst at Center for Genomic Regulation was asked...,"There was some question for doing something on computer, but they didn't give me a prepared one for that, I had to use my own laptop, most time spent on download necessary stuff, didn't finish the task.","Except the one where I had to use my laptop, all answered ARAIR.",Spain
Data Scientist at EY was asked...,¿Como consideras tu nivel de inglés?,Nivel intermedio,Spain
Game Data Scientist/Analyst at Socialpoint was asked...,Why am I interested in this role at this company? They wanted to make sure I was passionate about the industry.,"With sincerity. I love video games and data science, so the position and company were great fits.",Spain
Senior Data Scientist at Glovo was asked...,How would you evaluate a forecast,"depending on the forecasting: Mainly there are 2 kinds (there are more) of forecasting, a numerical( a real number) or categorical (True/False). * for numerical forecasting the most usual metric is RMSE [Root Mean Square Error] * for categorical the most common one is AUC-ROC or AUC [Area Under the Curve of Recovery Operating Characteristic]",Spain
