job_company,questions,answers,country,area
Data Scientist at Spotify was asked...,Parse a file using a function that I’ve never heard about,"Searched for the doc, didn‘t seem to be the best approach, but interviewer was adamant that is was his way or the highway",Sweden,Data Analyst
Data Scientist at Klarna was asked...,Tell me something about yourself that may surprise people you know.,"As a first impression, a lot of people tend to think that I'm quite extraverted and outgoing. But I'm really more introverted - I enjoy spending time alone and prefer to hang out with a few close friends rather than with groups of people.",Sweden,Data Analyst
Senior Data Scientist at Ericsson-Worldwide was asked...,"Where does Deep Learning offer advantage compared to SVMs? Is the cost function of a DNN model convex? What about for SVM? Tell me about how you have implemented a research paper (mentioned in my resume) Basic questions about linear and logistic regressions - about their assumptions, advantages etc Overall, the questions weren't too deep.",could pls tell little more abt the assessment test how long it was and what was the challenge ? it would be grt help bro.,Sweden,Data Analyst
Senior Data Scientist at Recorded Future was asked...,Why I wanted to work on Recorded Future?,"Amazing product, skilled and very talented people with passion about what they do, good culture, analytic challenges and possibility to work with the whole process from R&amp;D to working software, and from data harvesting to customer alerts. It is also important for me to work in an area which motivates me in the sense of making this a better world, which Recorded Future very much do.",Sweden,Data Analyst
Data Science Intern at King was asked...,"How does the mean, median, and mod of a series change when the same value is added to each element of the series?","Since the value is added to each element, mean, median, and mod of the series will increase by the added value.",Sweden,Data Analyst
Risk and Data Analyst at Ferratum Group was asked...,Why do you want to join the company?,To start the career,Sweden,Data Analyst
Data Scientist at King was asked...,- In which way would you decide how to change the design of a video game? - How to group users and test their behaviors even if they have very different statistical distribution? - Which is the best seller power-up in Candy Crush?,- Using AB test - Group users with different clustering approaches. Using nonparametric statistical tests or permutational tests. - More moves are the best sellers. Than Lives. Then instruments.,Sweden,Data Analyst
Data Scientist at Klarna was asked...,Do you expect to get relocated (after having received a package about their relocation benefits)?,Yes. To which they answered: You know that is very expensive right?,Sweden,Data Analyst
Data Scientist at Klarna was asked...,"if you can get access to all data, what kinds of variable will affect credit model.",No answer,Sweden,Data Analyst
Data Analyst at Vultus (Sweden) was asked...,What is a weakness of yours? What do you think of our company?,No answer,Sweden,Data Analyst
Data Analyst at Rovio Entertainment was asked...,Play the first 30 levels of Angry Birds 2. Propose some AB tests.,No answer,Sweden,Data Analyst
Data Science Intern at Activision Blizzard was asked...,Probability problem where Bayes Theorem should be used.,No answer,Sweden,Data Analyst
Data Science Intern at Activision Blizzard was asked...,What is your favorite king game?,No answer,Sweden,Data Analyst
