job_company,questions,answers,country,area
UI-UX Designer at SendBird was asked...,"The company does not interview candidates, only receiving résumés and portfolios.","I am sorry you had a negative experience. Unfortunately, we do not have any UX roles open in UK, nor have we ever had a role posted in that location or have any plans to hire for that role in UK/EMEA. Our UX team is located in Seoul Korea.",United Kingdom,UX Designer
UI-UX Designer at Firefly (London) was asked...,Tell us about the project you're most proud of.,How do you work with developers?,United Kingdom,UX Designer
UI-UX Designer at LateRooms.com was asked...,How would you resolve conflicting stakeholder requirements,prototype them and test them and let the user decide.,United Kingdom,UX Designer
UI-UX Designer at Mindtree was asked...,they asked questions related to my presentation,simply replied to that,United Kingdom,UX Designer
UX Designer at elder was asked...,Go through a recent project I have worked on?,"I went over a recent project, but was not asked to explain my design thinking behind my decisions at any point of me outlining the project.",United Kingdom,UX Designer
UI-UX Designer at Pink Parrot Media was asked...,How do you learn and keep up with the design knowledge?,"I follow my favourite designers on social media, listen to their channels, read books about design, read articles, go to meetups.",United Kingdom,UX Designer
UI-UX Designer at Aviva was asked...,They give me a hypothetical case of a company wanting to do some works in a hotel. What would be my approach.,"There was no right or wrong, this question was to see what my though process was, and the level of user focus I naturally showed.",United Kingdom,UX Designer
UI/UX Designer at Moneybox was asked...,I had to explain my process as a designer.,"I started with an example of a recent project, how I approach it, all the steps involved and finding the best solution.",United Kingdom,UX Designer
UI-UX Designer at Intouch Games was asked...,What is your background and design process,"Not unexpected question , the lead designer seemed not so interested to your projects , he just wanted to see your ideas for free",United Kingdom,UX Designer
UI/UX Designer at David Lloyd Leisure was asked...,They asked about my UX skills,which I said... I am a UI... from the onset.,United Kingdom,UX Designer
UX Designer at Backbase was asked...,What factors would you consider when designing for mobile?,,United Kingdom,UX Designer
Senior UX Designer at OpenMarket was asked...,"The interviewer came across as ingenuine and dis-honest if you can say that. Dressing up questions to hide the real intent. Given that I was very experienced in what the company wanted to do and had done that successfully for others (he was very satisfied with answers), I didnt get the role and l I was not told why I didnt get it.","I am an experienced designer and know my trade very well. I am experienced with the interview process (and interview other designers), so very familiar with what is usually expected.",United Kingdom,UX Designer
UI-UX Designer at THG was asked...,What's your best skill,"I don't have a ""best"" I have a variety of skills that I apply when needed.",United Kingdom,UX Designer
UX Designer at Rapid7 was asked...,Can you present a piece of work of your choosing from your portfolio?,Presenting a single piece of work over 20 mins. I showed the final product and my process.,United Kingdom,UX Designer
UI-UX Designer at Blippar was asked...,Take me through one of the projects on your portfolio and tell me how you came to the conclusion and design that you did.,I took them through the project - explaining the double diamond etc...,United Kingdom,UX Designer
UX Designer at elder was asked...,Can you describe your design process?,"They did not elaborate on what they wanted from me from such a vague question. Every project is different, there isn't some 'Holy Grail' blueprint. I was confused by the question and just repeated the previous answer.",United Kingdom,UX Designer
UI-UX Designer at RedCloud Technology was asked...,What was your main role at DSSC Digital Software Solutions,"I was employed by DSSC to design their digital products from the ground up working from concept to completion on a product named Paymenta, a mobile app and desktop platform for money transfers across different countries.",United Kingdom,UX Designer
UI-UX Designer at Syngenta was asked...,How many years experience do you have.,Over 25 years,United Kingdom,UX Designer
UX Designer at Capgemini Invent was asked...,What are the roles within a multidisciplinary Scrum team,"Scrum Master, Product Owner, Developer, etc.",United Kingdom,UX Designer
UI-UX Designer at LateRooms.com was asked...,What things interest you personally,No answer,United Kingdom,UX Designer
UX Designer at Doctor Care Anywhere was asked...,I had to ask him what he wanted from me for the most part! Asked me what I felt was the most important part of the design process though.,I responded that I felt it was the initial user testing to ascertain the worth of ideas in the Discovery phase.,United Kingdom,UX Designer
