,Course,Job,Company,Location,Link
0,UX/UI Designer,"UX Interaction Designer, Video",Google,"Estocolmo, Suécia",https://www.linkedin.com/jobs/view/2560772690/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=COMPANY_RECRUIT&refId=axJF4YLTCvFe9N%2BR2tALoA%3D%3D&trackingId=x%2B0E2RXW8K2eHMU56%2F8qDg%3D%3D&trk=flagship3_search_srp_jobs
1,UX/UI Designer,Junior UX-Designer,CheckProof,"Estocolmo, Suécia",https://www.linkedin.com/jobs/view/2558821584/?eBP=JOB_SEARCH_ORGANIC&refId=axJF4YLTCvFe9N%2BR2tALoA%3D%3D&trackingId=mEra8knXmLDFVhSVYJhgrA%3D%3D&trk=flagship3_search_srp_jobs
2,UX/UI Designer,Product Designer UX/UI,Most Studios,"Estocolmo, Suécia",https://www.linkedin.com/jobs/view/2574870311/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=axJF4YLTCvFe9N%2BR2tALoA%3D%3D&trackingId=PRsi09dQ9Y%2B9a59UcaNPHg%3D%3D&trk=flagship3_search_srp_jobs
3,UX/UI Designer,UX/UI Designer,Hive Streaming,"Estocolmo, Suécia",https://www.linkedin.com/jobs/view/2567322370/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=axJF4YLTCvFe9N%2BR2tALoA%3D%3D&trackingId=hzZ35I7ts2A1XhVo9VhPDQ%3D%3D&trk=flagship3_search_srp_jobs
4,UX/UI Designer,UX Designer,G-Loot,"Estocolmo, Suécia",https://www.linkedin.com/jobs/view/2558831614/?eBP=JOB_SEARCH_ORGANIC&refId=axJF4YLTCvFe9N%2BR2tALoA%3D%3D&trackingId=B0BnE2M6%2FsIkHnOPGKlsTA%3D%3D&trk=flagship3_search_srp_jobs
0,UX/UI Designer,"Visual Designer, Advertising",Amazon,"Munique, Alemanha",https://www.linkedin.com/jobs/view/2431522272/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=COMPANY_RECRUIT&refId=tqUPxlHNUnoWeMmDxzVIQw%3D%3D&trackingId=0GvXXTYbVfpatrT%2BE2i2jQ%3D%3D&trk=flagship3_search_srp_jobs
1,UX/UI Designer,"UX Writer, Google Shopping",Google,"Munique, Alemanha",https://www.linkedin.com/jobs/view/2479912372/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=COMPANY_RECRUIT&refId=tqUPxlHNUnoWeMmDxzVIQw%3D%3D&trackingId=VbN2d8uhKcfo1EkePE1G6Q%3D%3D&trk=flagship3_search_srp_jobs
2,UX/UI Designer,UX/UI Design*,Capco,"Berlim, Alemanha",https://www.linkedin.com/jobs/view/2516784564/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=tqUPxlHNUnoWeMmDxzVIQw%3D%3D&trackingId=B3FjWwax9bn3ccFC9Wbwrg%3D%3D&trk=flagship3_search_srp_jobs
3,UX/UI Designer,UX/UI Design Lead,James Chase,"Dusseldorf, Alemanha",https://www.linkedin.com/jobs/view/2525963774/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=tqUPxlHNUnoWeMmDxzVIQw%3D%3D&trackingId=XGVb5DJtz2JzZTM7YCe71A%3D%3D&trk=flagship3_search_srp_jobs
4,UX/UI Designer,Junior Product Designer (m/f/x),HelloFresh,"Berlim, Alemanha",https://www.linkedin.com/jobs/view/2575577162/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=COMPANY_RECRUIT&refId=tqUPxlHNUnoWeMmDxzVIQw%3D%3D&trackingId=4Hhint%2BnIzZakIKP5BLyVg%3D%3D&trk=flagship3_search_srp_jobs
